For Mayor CITY OF JERSEY CITY ( 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,JOYCE E. WATTERMAN,,,,,,MUSSAB ALI,,,,,,KALKI JAYNE-ROSE,,,,,,JIM McGREEVEY,,,,,,BILL O'DEA,,,,,,JAMES SOLOMON,,,,,,CHRISTINA L. FREEMAN,,,,,,Write-In Vote,,,,,,
Precinct,Registered Voters,Election Day,Early Voting,Mail-In,Provisional,Overseas,Total Votes,Election Day,Early Voting,Mail-In,Provisional,Overseas,Total Votes,Election Day,Early Voting,Mail-In,Provisional,Overseas,Total Votes,Election Day,Early Voting,Mail-In,Provisional,Overseas,Total Votes,Election Day,Early Voting,Mail-In,Provisional,Overseas,Total Votes,Election Day,Early Voting,Mail-In,Provisional,Overseas,Total Votes,Election Day,Early Voting,Mail-In,Provisional,Overseas,Total Votes,Election Day,Early Voting,Mail-In,Provisional,Overseas,Total Votes,Total
Jersey City Ward A District 11,910,10,3,1,0,0,14,39,4,5,0,0,48,1,0,0,0,0,1,51,12,14,1,0,78,57,11,8,0,0,76,22,4,0,0,0,26,4,4,0,0,0,8,2,0,0,0,0,2,253
Jersey City Ward A District 12,613,8,2,1,0,0,11,21,4,1,0,0,26,0,0,0,0,0,0,40,17,22,0,0,79,65,7,7,1,0,80,15,0,3,0,0,18,3,0,3,0,0,6,0,0,0,0,0,0,220
Jersey City Ward A District 13,656,12,3,2,0,0,17,44,2,3,1,0,50,1,0,0,0,0,1,45,16,5,2,0,68,37,14,6,0,0,57,17,5,5,0,0,27,3,1,0,0,0,4,0,0,0,0,0,0,224
Jersey City Ward A District 14,961,16,3,4,0,0,23,31,10,5,0,0,46,1,1,0,0,0,2,55,18,13,5,0,91,58,9,9,1,0,77,26,7,7,0,0,40,5,2,0,0,0,7,0,0,0,0,0,0,286
Jersey City Ward A District 15,859,13,8,5,0,0,26,34,20,2,1,0,57,0,0,0,0,0,0,58,38,19,2,0,117,48,15,11,1,0,75,15,6,4,2,0,27,6,1,1,0,0,8,2,0,0,0,0,2,312
Jersey City Ward A District 16,888,13,0,5,0,0,18,29,8,2,0,0,39,1,0,0,0,0,1,89,14,22,2,0,127,71,15,7,1,0,94,53,2,8,2,0,65,2,0,0,0,0,2,0,0,0,0,0,0,346
Jersey City Ward A District 17,861,22,7,2,2,0,33,43,12,5,3,0,63,3,0,0,0,0,3,38,25,25,5,0,93,52,11,7,4,0,74,19,12,6,0,0,37,9,0,2,1,0,12,0,0,0,0,0,0,315
Jersey City Ward A District 18,884,9,3,0,0,0,12,36,11,6,2,0,55,1,0,0,0,0,1,50,27,12,1,0,90,44,8,1,1,0,54,20,6,2,1,0,29,9,0,0,0,0,9,0,0,0,0,0,0,250
Jersey City Ward A District 19,783,18,6,3,0,0,27,26,4,2,2,0,34,0,0,0,0,0,0,28,15,4,1,0,48,61,27,9,6,0,103,12,5,2,0,0,19,8,2,0,0,0,10,0,0,0,0,0,0,241
Jersey City Ward A District 20,811,11,4,1,0,0,16,48,12,3,0,0,63,3,1,0,0,0,4,68,15,4,2,0,89,63,21,7,0,0,91,20,7,3,0,0,30,8,1,0,0,0,9,0,0,0,0,0,0,302
Jersey City Ward A District 21,891,15,4,8,1,0,28,33,5,2,1,0,41,0,0,0,0,0,0,58,19,13,8,0,98,78,29,8,4,0,119,9,5,4,1,0,19,4,1,0,0,0,5,1,2,0,0,0,3,313
Jersey City Ward A District 22,789,18,6,1,2,0,27,32,6,2,2,0,42,1,0,0,0,0,1,29,9,7,2,0,47,56,13,11,0,0,80,14,5,0,1,0,20,5,1,1,0,0,7,0,0,1,0,0,1,225
Jersey City Ward A District 23,1056,10,6,3,2,0,21,43,12,8,4,0,67,0,0,0,0,0,0,60,27,17,2,0,106,70,27,14,4,0,115,31,20,3,0,0,54,4,0,0,0,0,4,1,0,0,0,0,1,368
Jersey City Ward A District 24,716,7,4,1,1,0,13,38,7,4,2,0,51,1,1,0,0,0,2,43,20,14,3,0,80,42,15,9,2,0,68,22,2,4,0,0,28,7,0,0,0,0,7,1,1,0,0,0,2,251
Jersey City Ward A District 25,879,13,5,5,0,0,23,38,9,9,0,0,56,0,0,0,0,0,0,48,18,11,0,0,77,45,17,1,2,0,65,13,7,4,2,0,26,5,1,0,0,0,6,1,1,0,0,0,2,255
Jersey City Ward A District 26,977,23,5,4,0,1,33,56,5,5,2,0,68,0,1,0,0,0,1,61,15,5,1,0,82,60,21,7,1,0,89,30,7,3,0,0,40,6,1,1,1,0,9,1,2,0,0,0,3,325
Jersey City Ward A District 27,1079,26,5,4,1,0,36,40,10,6,2,0,58,2,0,0,0,0,2,68,18,24,3,1,114,58,17,21,1,0,97,25,6,7,0,0,38,4,3,1,1,0,9,2,1,0,0,0,3,357
Jersey City Ward A District 28,769,16,0,4,0,0,20,25,4,0,0,0,29,2,0,0,0,0,2,39,19,13,2,0,73,34,11,13,3,0,61,22,2,3,1,0,28,10,0,0,0,0,10,0,0,0,0,0,0,223
